hostname_length,path_length,double_slash_in_path,has_ip,subdomain_cnt,suspicious_tokens,has_at,hyphen_count,digit_count,entropy,domain_age_days,ssl_days_left,has_login_form,num_inputs,num_iframes,num_scripts,meta_refresh,suspicious_js,ext_favicon,label_encoded
69,46,0,0,10,2,0,0,31,4.776882905779339,-1,-999,0,0,0,0,0,0,0,1
19,58,0,0,1,3,0,0,0,4.503164102027721,-1,-999,0,0,0,1,0,0,0,1
19,65,0,0,1,2,0,1,0,4.526780945839015,-1,-999,0,0,0,0,0,0,0,1
12,217,0,0,0,1,0,0,79,4.949786896930558,-1,-999,0,2,0,8,0,0,0,1
24,178,0,0,3,2,0,0,11,5.141757434399895,-1,-999,0,0,0,0,0,0,0,1
21,48,0,0,1,1,0,1,12,4.96971767081273,-1,-999,0,0,0,0,0,0,0,1
16,48,0,0,1,1,0,0,12,4.833274571476653,-1,-999,0,0,0,0,0,0,0,1
24,158,0,0,3,2,0,0,11,5.170147363535829,-1,-999,0,0,0,0,0,0,0,1
9,48,0,0,0,1,0,0,12,4.837451659049164,-1,-999,0,0,0,0,0,0,0,1
19,64,0,0,1,2,0,1,0,4.489070981516765,-1,-999,0,0,0,0,0,0,0,1
17,33,0,0,1,0,0,0,2,4.367978507386364,-1,-999,0,0,0,0,0,0,0,1
17,23,0,0,1,0,0,0,2,4.176484597780467,-1,-999,0,0,0,0,0,0,0,1
21,1,0,0,2,0,0,0,0,3.9523029776623857,-1,-999,0,0,0,0,0,0,0,1
19,59,0,0,0,0,0,0,3,4.319217372340666,-1,-999,0,0,0,1,0,0,0,1
24,60,0,0,1,1,0,0,1,4.472516230443472,-1,-999,0,0,0,0,0,0,0,1
24,46,0,0,1,1,0,0,1,4.307461586920639,-1,-999,0,0,0,0,0,0,0,1
56,9,0,0,6,0,0,2,6,4.41329080817766,-1,-999,0,0,0,0,0,0,0,1
13,34,0,0,0,0,0,0,1,4.057688604168199,-1,-999,0,0,0,0,0,0,0,1
20,13,0,0,1,1,0,0,0,4.0653115322251026,-1,-999,0,0,0,0,0,0,0,1
